rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
57,CSharp,Sonarr,8441,1107,C#,https://github.com/Sonarr/Sonarr,Sonarr,105,2023-03-27T06:40:11Z,Smart PVR for newsgroup and bittorrent users.
58,CSharp,modular-monolith-with-ddd,8214,1233,C#,https://github.com/kgrzybek/modular-monolith-with-ddd,kgrzybek,41,2023-01-23T06:54:13Z,Full Modular Monolith application with Domain-Driven Design approach.
59,CSharp,Hangfire,8139,1583,C#,https://github.com/HangfireIO/Hangfire,HangfireIO,720,2023-03-24T07:35:40Z,An easy way to perform background job processing in your .NET and .NET Core applications. No Windows Service or separate process required
60,CSharp,Terminal.Gui,8029,597,C#,https://github.com/gui-cs/Terminal.Gui,gui-cs,96,2023-03-27T11:59:39Z,Cross Platform Terminal UI toolkit for .NET
61,CSharp,FluentValidation,8000,1125,C#,https://github.com/FluentValidation/FluentValidation,FluentValidation,2,2023-03-25T11:04:58Z,A popular .NET validation library for building strongly-typed validation rules.
62,CSharp,nopCommerce,7997,4540,C#,https://github.com/nopSolutions/nopCommerce,nopSolutions,71,2023-03-27T11:15:46Z,ASP.NET Core eCommerce software. nopCommerce is a free and open-source shopping cart.
63,CSharp,Humanizer,7599,894,C#,https://github.com/Humanizr/Humanizer,Humanizr,203,2023-03-04T19:30:32Z,"Humanizer meets all your .NET needs for manipulating and displaying strings, enums, dates, times, timespans, numbers and quantities"
64,CSharp,Ocelot,7544,1542,C#,https://github.com/ThreeMammals/Ocelot,ThreeMammals,524,2023-03-13T10:24:47Z,.NET core API Gateway
65,CSharp,uno,7532,622,C#,https://github.com/unoplatform/uno,unoplatform,1340,2023-03-27T11:53:42Z,"Build Mobile, Desktop and WebAssembly apps with C# and XAML. Today. Open source and professionally supported."
66,CSharp,Notepads,7490,430,C#,https://github.com/0x7c13/Notepads,0x7c13,273,2023-03-25T06:06:51Z,"A modern, lightweight text editor with a minimalist design."
67,CSharp,ReactiveUI,7405,1118,C#,https://github.com/reactiveui/ReactiveUI,reactiveui,78,2023-03-25T15:41:26Z,"An advanced, composable, functional reactive model-view-viewmodel framework for all .NET platforms that is inspired by functional reactive programming. ReactiveUI allows you to  abstract mutable state away from your user interfaces, express the idea around a feature in one readable place and improve the testability of your application."
68,CSharp,LiteDB,7343,1117,C#,https://github.com/mbdavid/LiteDB,mbdavid,554,2023-03-21T20:34:50Z,LiteDB - A .NET NoSQL Document Store in a single data file - https://www.litedb.org
69,CSharp,blockchain,7337,2642,C#,https://github.com/dvf/blockchain,dvf,68,2023-01-04T17:21:04Z,A simple Blockchain in Python
70,CSharp,Bili.Uwp,7331,486,C#,https://github.com/Richasy/Bili.Uwp,Richasy,141,2023-03-18T13:08:50Z,适用于新系统UI的哔哩
71,CSharp,mRemoteNG,7320,1326,C#,https://github.com/mRemoteNG/mRemoteNG,mRemoteNG,753,2023-03-25T22:30:02Z,"mRemoteNG is the next generation of mRemote, open source, tabbed, multi-protocol, remote connections manager."
72,CSharp,ailab,7301,1366,C#,https://github.com/microsoft/ailab,microsoft,27,2022-12-08T02:14:59Z,"Experience, Learn and Code the latest breakthrough innovations with Microsoft AI"
73,CSharp,Lean,7251,2783,C#,https://github.com/QuantConnect/Lean,QuantConnect,252,2023-03-27T08:43:24Z,"Lean Algorithmic Trading Engine by QuantConnect (Python, C#)"
74,CSharp,EarTrumpet,7187,470,C#,https://github.com/File-New-Project/EarTrumpet,File-New-Project,42,2023-03-24T20:34:42Z,EarTrumpet - Volume Control for Windows
75,CSharp,Nancy,7182,1508,C#,https://github.com/NancyFx/Nancy,NancyFx,196,2021-01-24T13:28:09Z,"Lightweight, low-ceremony, framework for building HTTP based services on .Net and Mono"
76,CSharp,Bogus,7002,411,C#,https://github.com/bchavez/Bogus,bchavez,32,2023-03-27T01:49:52Z,":card_index: A simple fake data generator for C#, F#, and VB.NET. Based on and ported from the famed faker.js."
77,CSharp,refit,6996,688,C#,https://github.com/reactiveui/refit,reactiveui,153,2023-03-22T13:38:44Z,"The automatic type-safe REST library for .NET Core, Xamarin and .NET. Heavily inspired by Square's Retrofit library, Refit turns your REST API into a live interface."
78,CSharp,PDFPatcher,6960,1099,C#,https://github.com/wmjordan/PDFPatcher,wmjordan,36,2023-03-20T07:07:57Z,PDF补丁丁——PDF工具箱，可以编辑书签、剪裁旋转页面、解除限制、提取或合并文档，探查文档结构，提取图片、转成图片等等
79,CSharp,ContextMenuManager,6943,407,C#,https://github.com/BluePointLilac/ContextMenuManager,BluePointLilac,60,2022-07-06T05:15:21Z,🖱️ 纯粹的Windows右键菜单管理程序
80,CSharp,gitextensions,6858,2011,C#,https://github.com/gitextensions/gitextensions,gitextensions,648,2023-03-27T10:41:09Z,Git Extensions is a standalone UI tool for managing git repositories. It also integrates with Windows Explorer and Microsoft Visual Studio (2015/2017/2019).
81,CSharp,ET,6844,2534,C#,https://github.com/egametang/ET,egametang,48,2023-03-26T14:27:55Z,Unity3D Client And C# Server Framework
82,CSharp,spectre.console,6797,324,C#,https://github.com/spectreconsole/spectre.console,spectreconsole,134,2023-03-21T09:09:51Z,A .NET library that makes it easier to create beautiful console applications.
83,CSharp,Electron.NET,6621,667,C#,https://github.com/ElectronNET/Electron.NET,ElectronNET,169,2023-03-24T13:19:03Z,":electron: Build cross platform desktop apps with ASP.NET Core (Razor Pages, MVC, Blazor)."
84,CSharp,jynew,6555,1458,C#,https://github.com/jynew/jynew,jynew,32,2023-03-05T19:37:06Z,JinYongLegend-like RPG Game Framework with full Modding support
85,CSharp,Quasar,6524,2144,C#,https://github.com/quasar/Quasar,quasar,137,2023-03-12T16:28:35Z,Remote Administration Tool for Windows
86,CSharp,OrchardCore,6460,2130,C#,https://github.com/OrchardCMS/OrchardCore,OrchardCMS,1213,2023-03-27T08:08:26Z,"Orchard Core is an open-source modular and multi-tenant application framework built with ASP.NET Core, and a content management system (CMS) built on top of that framework."
87,CSharp,reverse-proxy,6403,623,C#,https://github.com/microsoft/reverse-proxy,microsoft,129,2023-03-20T12:23:59Z,A toolkit for developing high-performance HTTP reverse proxy applications.
88,CSharp,QuestPDF,6396,336,C#,https://github.com/QuestPDF/QuestPDF,QuestPDF,123,2023-03-16T07:27:04Z,"QuestPDF is a modern open-source .NET library for PDF document generation. Offering comprehensive layout engine powered by concise and discoverable C# Fluent API. Easily generate PDF reports, invoices, exports, etc."
89,CSharp,UniRx,6351,835,C#,https://github.com/neuecc/UniRx,neuecc,189,2023-03-25T02:05:13Z,Reactive Extensions for Unity
90,CSharp,wpf,6257,1038,C#,https://github.com/dotnet/wpf,dotnet,926,2023-03-27T11:10:33Z,WPF is a .NET Core UI framework for building Windows desktop applications.
91,CSharp,Dependencies,6214,537,C#,https://github.com/lucasg/Dependencies,lucasg,84,2023-02-09T08:04:08Z,"A rewrite of the old legacy software ""depends.exe"" in C# for Windows devs to troubleshoot dll load dependencies issues."
92,CSharp,AspNetCoreDiagnosticScenarios,6206,612,C#,https://github.com/davidfowl/AspNetCoreDiagnosticScenarios,davidfowl,23,2023-01-24T03:41:39Z,This repository has examples of broken patterns in ASP.NET Core applications
93,CSharp,Entitas,6172,1067,C#,https://github.com/sschmid/Entitas,sschmid,127,2022-12-17T18:37:37Z,Entitas is a super fast Entity Component System (ECS) Framework specifically made for C# and Unity
94,CSharp,Bulk-Crap-Uninstaller,5965,363,C#,https://github.com/Klocman/Bulk-Crap-Uninstaller,Klocman,45,2023-03-15T09:40:34Z,Remove large amounts of unwanted applications quickly.
95,CSharp,CAP,5953,1198,C#,https://github.com/dotnetcore/CAP,dotnetcore,5,2023-03-25T15:24:17Z,"Distributed transaction solution in micro-service base on eventually consistency, also an eventbus with Outbox pattern"
96,CSharp,clean-code-dotnet,5924,924,C#,https://github.com/thangchung/clean-code-dotnet,thangchung,15,2023-02-12T17:34:56Z,:bathtub:  Clean Code concepts and tools adapted for .NET 
97,CSharp,EquinoxProject,5890,1512,C#,https://github.com/EduardoPires/EquinoxProject,EduardoPires,8,2023-03-03T15:44:56Z,"Full ASP.NET Core 6 application with DDD, CQRS and Event Sourcing concepts"
98,CSharp,docker-lambda,5853,448,C#,https://github.com/lambci/docker-lambda,lambci,58,2023-01-15T21:14:40Z,Docker images and test runners that replicate the live AWS Lambda environment
99,CSharp,MarkovJunior,5853,261,C#,https://github.com/mxgmn/MarkovJunior,mxgmn,4,2022-09-03T23:43:14Z,"Probabilistic language based on pattern matching and constraint propagation, 153 examples"
100,CSharp,reactive,5848,688,C#,https://github.com/dotnet/reactive,dotnet,109,2023-03-21T03:58:48Z,The Reactive Extensions for .NET
101,CSharp,opencvsharp,4431,1009,C#,https://github.com/shimat/opencvsharp,shimat,64,2023-03-10T11:27:13Z,OpenCV wrapper for .NET
102,CSharp,UIEffect,4430,644,C#,https://github.com/mob-sakai/UIEffect,mob-sakai,65,2023-02-06T03:19:39Z, UIEffect is an effect component for uGUI element in Unity. Let's decorate your UI with effects!
103,CSharp,PushSharp,4358,1566,C#,https://github.com/Redth/PushSharp,Redth,175,2023-02-07T14:55:40Z,"A server-side library for sending Push Notifications to iOS (iPhone/iPad APNS), Android (C2DM and GCM - Google Cloud Message), Windows Phone, Windows 8, Amazon, Blackberry, and (soon) FirefoxOS devices!"
104,CSharp,framework,4343,1956,C#,https://github.com/accord-net/framework,accord-net,754,2020-11-18T19:53:02Z,"Machine learning, computer vision, statistics and general scientific computing for .NET"
105,CSharp,elsa-core,4341,829,C#,https://github.com/elsa-workflows/elsa-core,elsa-workflows,318,2023-03-27T10:48:18Z,A .NET workflows library
106,CSharp,SqlSugar,4339,1237,C#,https://github.com/DotNetNext/SqlSugar,DotNetNext,4,2023-03-26T04:55:09Z,".Net ORM    Fastest ORM   Simple Easy  Sqlite  orm Oracle ORM Mysql Orm  postgresql ORm  SqlServer oRm     达梦 ORM 人大金仓 ORM 神通ORM  C# ORM , C# ORM .NET ORM NET5 ORM .NET6 ORM ClickHouse orm QuestDb"
107,CSharp,electrino,4314,105,C#,https://github.com/pojala/electrino,pojala,18,2022-12-07T18:00:46Z,"Desktop runtime for apps built on web technologies, using the system's own web browser engine"
108,CSharp,xamarin-forms-samples,4277,7603,C#,https://github.com/xamarin/xamarin-forms-samples,xamarin,46,2023-03-03T00:28:09Z,Sample apps built using the Xamarin.Forms framework
109,CSharp,Blog.Core,4265,1239,C#,https://github.com/anjoy8/Blog.Core,anjoy8,3,2023-03-23T08:39:57Z,💖 ASP.NET Core 6.0/7.0 全家桶教程，前后端分离后端接口，vue教程姊妹篇，官方文档：
110,CSharp,Opserver,4242,817,C#,https://github.com/opserver/Opserver,opserver,67,2023-03-02T16:11:35Z,Stack Exchange's Monitoring System
111,CSharp,Util,4183,1223,C#,https://github.com/dotnetcore/Util,dotnetcore,0,2023-03-25T03:16:28Z,Util是一个.net core平台下的应用框架，旨在提升小型团队的开发输出能力，由常用公共操作类(工具类)、分层架构基类、Ui组件，第三方组件封装，第三方业务接口封装，配套代码生成模板，权限等组成。
112,CSharp,WPF-Samples,4174,3017,C#,https://github.com/microsoft/WPF-Samples,microsoft,65,2023-03-09T08:28:57Z,Repository for WPF related samples
113,CSharp,git-credential-manager,4145,1341,C#,https://github.com/git-ecosystem/git-credential-manager,git-ecosystem,39,2023-03-24T21:16:22Z,"Secure, cross-platform Git credential storage with authentication to GitHub, Azure Repos, and other popular Git hosting services."
114,CSharp,Mirror,3996,646,C#,https://github.com/MirrorNetworking/Mirror,MirrorNetworking,45,2023-03-27T06:10:21Z,#1 Open Source Unity Networking Library
115,CSharp,Fody,3956,441,C#,https://github.com/Fody/Fody,Fody,1,2023-03-24T10:06:41Z,Extensible tool for weaving .net assemblies
116,CSharp,commandline,3921,448,C#,https://github.com/commandlineparser/commandline,commandlineparser,232,2023-03-23T14:29:26Z,"The best C# command line parser that brings standardized *nix getopt style, for .NET.  Includes F# support"
117,CSharp,Harmony,3920,393,C#,https://github.com/pardeike/Harmony,pardeike,11,2023-03-22T00:28:39Z,"A library for patching, replacing and decorating .NET and Mono methods during runtime"
118,CSharp,wpfui,3872,436,C#,https://github.com/lepoco/wpfui,lepoco,146,2023-03-25T00:01:01Z,"WPF UI provides the Fluent experience in your known and loved WPF framework. Intuitive design, themes, navigation and new immersive controls. All natively and effortlessly."
119,CSharp,WTM,3850,827,C#,https://github.com/dotnetcore/WTM,dotnetcore,79,2023-02-27T08:17:49Z,Use WTM to write .netcore app fast !!!
120,CSharp,VisualStudioUninstaller,3848,589,C#,https://github.com/microsoft/VisualStudioUninstaller,microsoft,42,2019-02-20T17:33:25Z,Visual Studio Uninstallation sometimes can be unreliable and often leave out a lot of unwanted artifacts. Visual Studio Uninstaller is designed to thoroughly and reliably remove these unwanted artifacts.
121,CSharp,SimplCommerce,3831,1431,C#,https://github.com/simplcommerce/SimplCommerce,simplcommerce,145,2022-10-18T14:04:29Z,"A simple, cross platform, modularized ecommerce system built on .NET Core"
122,CSharp,winforms,3809,859,C#,https://github.com/dotnet/winforms,dotnet,516,2023-03-27T11:44:01Z,Windows Forms is a .NET UI framework for building Windows desktop applications.
123,CSharp,self-driving-car-sim,3758,1459,C#,https://github.com/udacity/self-driving-car-sim,udacity,53,2022-02-24T12:49:52Z,A self-driving car simulator built with Unity
124,CSharp,MvvmCross,3747,1304,C#,https://github.com/MvvmCross/MvvmCross,MvvmCross,254,2023-03-24T12:50:12Z,"The .NET MVVM framework for cross-platform solutions, including Xamarin.iOS, Xamarin.Android, Windows and Mac."
125,CSharp,spine-runtimes,3694,2762,C#,https://github.com/EsotericSoftware/spine-runtimes,EsotericSoftware,59,2023-03-24T14:10:06Z,2D skeletal animation runtimes for Spine.
126,CSharp,MathUtilities,3665,353,C#,https://github.com/zalo/MathUtilities,zalo,0,2022-11-09T07:50:46Z,A collection of some of the neat math and physics tricks that I've collected over the last few years.
127,CSharp,EPPlus,3660,1125,C#,https://github.com/JanKallman/EPPlus,JanKallman,380,2020-08-29T16:29:42Z,Create advanced Excel spreadsheets using .NET
128,CSharp,ClosedXML,3639,716,C#,https://github.com/ClosedXML/ClosedXML,ClosedXML,340,2023-03-25T21:01:36Z,"ClosedXML is a .NET library for reading, manipulating and writing Excel 2007+ (.xlsx, .xlsm) files. It aims to provide an intuitive and user-friendly interface to dealing with the underlying OpenXML API."
129,CSharp,FreeSql,3633,798,C#,https://github.com/dotnetcore/FreeSql,dotnetcore,58,2023-03-25T08:11:40Z,"🦄 .NET orm, C# orm, VB.NET orm, Mysql orm, Postgresql orm, SqlServer orm, Oracle orm, Sqlite orm, Firebird orm, 达梦 orm, 人大金仓 orm, 神通 orm, 翰高 orm, 南大通用 orm, 国产 orm, Clickhouse orm, QuestDB orm, MsAccess orm."
130,CSharp,pythonnet,3614,631,C#,https://github.com/pythonnet/pythonnet,pythonnet,101,2023-03-12T21:01:53Z,Python for .NET is a package that gives Python programmers nearly seamless integration with the .NET Common Language Runtime (CLR) and provides a powerful application scripting tool for .NET developers.
131,CSharp,WinDynamicDesktop,3601,269,C#,https://github.com/t1m0thyj/WinDynamicDesktop,t1m0thyj,22,2023-03-13T23:07:30Z,Port of macOS Mojave Dynamic Desktop feature to Windows 10
132,CSharp,ModernWpf,3601,394,C#,https://github.com/Kinnara/ModernWpf,Kinnara,211,2023-02-26T13:05:43Z,Modern styles and controls for your WPF applications
133,CSharp,DotnetSpider,3597,977,C#,https://github.com/dotnetcore/DotnetSpider,dotnetcore,8,2023-03-27T09:41:26Z,"DotnetSpider, a .NET standard web crawling library. It is lightweight, efficient and fast high-level web crawling & scraping framework"
134,CSharp,NaughtyAttributes,3591,397,C#,https://github.com/dbrizov/NaughtyAttributes,dbrizov,76,2022-11-29T22:42:40Z,Attribute Extensions for Unity
135,CSharp,grpc-dotnet,3577,702,C#,https://github.com/grpc/grpc-dotnet,grpc,72,2023-03-22T07:34:37Z,gRPC for .NET
136,CSharp,cake,3551,714,C#,https://github.com/cake-build/cake,cake-build,238,2023-02-23T23:00:09Z,:cake: Cake (C# Make) is a cross platform build automation system.
137,CSharp,NETworkManager,3537,474,C#,https://github.com/BornToBeRoot/NETworkManager,BornToBeRoot,32,2023-03-27T08:05:46Z,A powerful tool for managing networks and troubleshoot network problems!
138,CSharp,azure-powershell,3509,3404,C#,https://github.com/Azure/azure-powershell,Azure,989,2023-03-27T10:52:44Z,Microsoft Azure PowerShell
139,CSharp,Covenant,3506,685,C#,https://github.com/cobbr/Covenant,cobbr,63,2023-02-21T23:55:48Z,Covenant is a collaborative .NET C2 framework for red teamers.
